;TEMPO;VDS;VG
17373;0.0078183;0.110022;0.53871
17374;0.00781875;0.110022;0.53871
17375;0.0078192;0.110233;0.53871
17376;0.00781965;0.110654;0.53871
17377;0.0078201;0.110022;0.53871
17378;0.00782055;0.110233;0.53871
17379;0.007821;0.110022;0.53871
17380;0.00782145;0.110022;0.53871
17381;0.0078219;0.110022;0.53871
17382;0.00782235;0.110022;0.53871
17383;0.0078228;0.110022;0.53871
17384;0.00782325;0.110022;0.53871
17385;0.0078237;0.110022;0.53871
17386;0.00782415;0.110022;0.53871
17387;0.0078246;0.110233;0.53871
17388;0.00782505;0.110022;0.53871
17389;0.0078255;0.110022;0.53871
17390;0.00782595;0.111076;0.53871
17391;0.0078264;0.111919;0.53871
17392;0.00782685;0.111919;0.53871
17393;0.0078273;0.111919;0.53871
17394;0.00782775;0.111708;0.53871
17395;0.0078282;0.111708;0.53871
17396;0.00782865;0.110865;0.53871
17397;0.0078291;0.110865;0.53871
17398;0.00782955;0.110654;0.53871
17399;0.00783;0.110443;0.53871
17400;0.00783045;0.110443;0.53871
17401;0.0078309;0.110654;0.53871
17402;0.00783135;0.110233;0.53871
17403;0.0078318;0.110022;0.53871
17404;0.00783225;0.111919;0.53871
17405;0.0078327;0.111919;0.53871
17406;0.00783315;0.110443;0.53871
17407;0.0078336;0.111287;0.53871
17408;0.00783405;0.111076;0.53871
17409;0.0078345;0.110022;0.53871
17410;0.00783495;0.110022;0.53871
17411;0.0078354;0.111076;0.53871
17412;0.00783585;0.111919;0.53871
17413;0.0078363;0.111708;0.53871
17414;0.00783675;0.111708;0.53871
17415;0.0078372;0.110022;0.53871
17416;0.00783765;0.110233;0.53871
17417;0.0078381;0.110022;0.53871
17418;0.00783855;0.110022;0.53871
17419;0.007839;0.110022;0.53871
17420;0.00783945;0.110022;0.53871
17421;0.0078399;0.110443;0.53871
17422;0.00784035;0.110022;0.53871
17423;0.0078408;0.110022;0.53871
17424;0.00784125;0.110022;0.53871
17425;0.0078417;0.110022;0.53871
17426;0.00784215;0.10665;0.53871
17427;0.0078426;0.106439;0.53871
17428;0.00784305;0.110654;0.53871
17429;0.0078435;0.110865;0.53871
17430;0.00784395;0.110443;0.535747
17431;0.0078444;0.111076;0.536339
17432;0.00784485;0.111076;0.53871
17433;0.0078453;0.110022;0.537525
17434;0.00784575;0.110443;0.535154
17435;0.0078462;0.110865;0.53871
17436;0.00784665;0.110865;0.53871
17437;0.0078471;0.110233;0.536339
17438;0.00784755;0.110022;0.53871
17439;0.007848;0.110022;0.53871
17440;0.00784845;0.110654;0.53871
17441;0.0078489;0.111919;0.53871
