t;vds;corrente;vg;RES_MED;RES_TEO
0.00666;0.0195348;0.0408179;0.64693;2392.920753;2449.905556
0.00668;0.0194965;0.040028;0.666683;2435.35775;2498.251224
0.0067;0.0194303;0.0427838;0.68541;2270.754351;2337.33329
0.00672;0.0193776;0.041582;0.704573;2330.046655;2404.88673
0.00674;0.0194359;0.0384661;0.726254;2526.367373;2599.691677
0.00676;0.0195675;0.0402071;0.745294;2433.338888;2487.122921
0.00678;0.0195332;0.0427261;0.764697;2285.86274;2340.489771
0.0068;0.0193984;0.0472528;0.783082;2052.619104;2116.276707
0.00682;0.0193154;0.0455078;0.775216;2122.207622;2197.425496
0.00684;0.0193896;0.0431798;0.758516;2245.216513;2315.897711
0.00686;0.0196146;0.04392;0.737271;2232.991803;2276.867031
0.00688;0.0196736;0.0391028;0.71733;2515.62548;2557.361621
0.0069;0.0194215;0.0395525;0.696934;2455.154541;2528.285191
0.00692;0.0195045;0.0408677;0.678091;2386.297736;2446.920184
0.00694;0.0193904;0.0407364;0.658474;2379.984486;2454.807003
0.00696;0.0194798;0.0395783;0.638126;2460.919241;2526.637071
0.00698;0.0194119;0.0392401;0.618839;2473.477387;2548.413485
0.007;0.019471;0.0392759;0.598991;2478.746509;2546.090605
0.00702;0.0195292;0.0358754;0.579351;2721.809374;2787.425367
0.00704;0.0194606;0.037109;0.559936;2622.086286;2694.764073
0.00706;0.0194662;0.035362;0.539252;2752.41785;2827.89435
0.00708;0.0194391;0.0350775;0.518092;2770.878768;2850.830304
0.0071;0.0195053;0.0332728;0.4989;2931.11791;3005.457912
0.00712;0.0194614;0.0350437;0.478859;2776.73305;2853.579959
0.00714;0.0195021;0.0346417;0.456675;2814.830104;2886.69436
0.00716;0.0193888;0.0356983;0.43774;2715.647524;2801.253841
0.00718;0.0194598;0.0308632;0.417634;3152.589492;3240.10472
0.0072;0.0196098;0.0335394;0.399306;2923.397556;2981.567947
0.00722;0.0194973;0.0351292;0.379504;2775.084545;2846.634708
0.00724;0.0194295;0.0336628;0.359287;2885.900757;2970.638212
0.00726;0.0195181;0.0336926;0.339343;2896.49656;2968.01078
0.00728;0.0194088;0.0342398;0.320089;2834.245527;2920.577807
0.0073;0.0193505;0.0358296;0.3004;2700.351106;2790.988456
0.00732;0.0193856;0.0362077;0.280456;2676.999644;2761.843475
0.00734;0.0194295;0.0364106;0.261792;2668.110385;2746.452956
0.00736;0.0195595;0.038486;0.241944;2541.118848;2598.347451
0.00738;0.0194223;0.0391307;0.222896;2481.721513;2555.538235
0.0074;0.0195699;0.0426724;0.202087;2293.039529;2343.435101
0.00742;0.0192667;0.0437827;0.18174;2200.264031;2284.007154
0.00744;0.0195196;0.0439896;0.162581;2218.660774;2273.26459
0.00746;0.0193593;0.0464689;0.143501;2083.038333;2151.976914
0.00748;0.0193952;0.0454919;0.122741;2131.720152;2198.193525
0.0075;0.019412;0.0483532;0.104221;2007.312856;2068.11545
0.00752;0.0193393;0.0486078;0.0851398;1989.320644;2057.282988
0.00754;0.0192955;0.0484248;0.0655642;1992.315921;2065.057574
0.00756;0.0195492;0.0473762;0.0473158;2063.187845;2110.764477
0.00758;0.0194008;0.0492605;0.0269555;1969.204535;2030.024056
0.0076;0.0193473;0.0521874;0.00603458;1853.637085;1916.171336
0.00762;0.0194127;0.0559142;-0.0125973;1735.936488;1788.454453
0.00764;0.0193896;0.0530749;-0.0335342;1826.626145;1884.129786
0.00766;0.0192906;0.0565927;-0.053687;1704.336425;1767.012353
0.00768;0.0191925;0.0609165;-0.072943;1575.312108;1641.591359
0.0077;0.0192627;0.0563301;-0.0935603;1709.805237;1775.249822
0.00772;0.0192859;0.0616109;-0.112176;1565.137013;1623.089421
0.00774;0.0193417;0.0601325;-0.133241;1608.256766;1662.994221
0.00776;0.0192516;0.0613562;-0.152032;1568.839009;1629.827141
0.00778;0.0192173;0.0636524;-0.171672;1509.550308;1571.032671
0.0078;0.0190609;0.0620467;-0.19077;1536.012391;1611.68926
0.00782;0.019112;0.0644046;-0.186286;1483.74495;1552.684125
0.00784;0.0191319;0.0630515;-0.168055;1517.16454;1586.005091
0.00786;0.0193162;0.0625521;-0.148767;1544.008914;1598.667351
0.00788;0.0192332;0.0608608;-0.127943;1580.097534;1643.093748
0.0079;0.019147;0.0594142;-0.108255;1611.31514;1683.099326
0.00792;0.0193274;0.0599455;-0.0886132;1612.080974;1668.181932
0.00794;0.019234;0.0600987;-0.0693577;1600.201003;1663.929503
0.00796;0.0193569;0.0578562;-0.0491727;1672.84578;1728.423229
0.00798;0.0192835;0.0542627;-0.030173;1776.865139;1842.88655
0.008;0.0191431;0.0554984;-0.00886777;1724.653323;1801.853747
0.00802;0.019321;0.0563102;0.00994021;1715.586164;1775.877195
0.00804;0.0194207;0.0507449;0.0307971;1913.561757;1970.641385
0.00806;0.0193346;0.0524879;0.0492691;1841.814971;1905.201008
0.00808;0.0191439;0.0543881;0.0693735;1759.934618;1838.637496
0.0081;0.0193322;0.0507846;0.0878298;1903.352591;1969.100869
0.00812;0.0194183;0.0470559;0.10771;2063.322559;2125.132024
