t,vds,corrente
3.28,0.0726379,0.0389723
3.3,0.106469,0.0473587
3.32,0.110449,0.0498253
3.34,0.0786082,0.0439055
3.36,0.102489,0.0463721
3.38,0.0676627,0.0379856
3.4,0.0895536,0.0404522
3.42,0.0567173,0.0325591
3.44,0.075623,0.0340391
3.46,0.0447768,0.0266393
3.48,0.0676627,0.0281192
3.5,0.0368165,0.0212128
3.52,0.0547272,0.0221994
3.54,0.0268661,0.0147996
3.56,0.0338314,0.0167729
3.58,0.0199008,0.00937308
3.6,0.0228859,0.0103597
3.62,0.00796032,0.00295992
3.64,0.0099504,0.00443988
3.66,-0.00398016,-0.0024666
3.68,0,-0.00147996
3.7,-0.0159206,-0.00838644
3.72,-0.0139306,-0.0073998
3.74,-0.0278611,-0.0147996
3.76,-0.024876,-0.0133196
3.78,-0.0457718,-0.0207194
3.8,-0.025871,-0.0187462
3.82,-0.0597024,-0.026146
3.84,-0.0587074,-0.0256526
3.86,-0.025871,-0.0182528
3.88,-0.048757,-0.0197328
3.9,-0.0159206,-0.012333
3.92,-0.0348264,-0.0143063
3.94,-0.00298512,-0.00641316
3.96,-0.0228859,-0.00789312
3.98,0.0099504,-0.00049332
4,-0.0119405,-0.00197328
4.02,0.0199008,0.00542652
4.04,0,0.00345324
4.06,0.0298512,0.0113464
4.08,0.0129355,0.0098664
4.1,0.0388066,0.0172662
4.12,0.0328363,0.0157862
4.14,0.0467669,0.0226927
4.16,0.0447768,0.0217061
4.18,0.0587074,0.0291059
4.2,0.0557222,0.0276259
4.22,0.0706478,0.0345324
4.24,0.0676627,0.0335458
4.26,0.0825883,0.0404522
4.28,0.0796032,0.0389723
4.3,0.0935338,0.0463721
4.32,0.098509,0.049332
4.34,0.0895536,0.0443988
4.36,0.102489,0.0463721
4.38,0.0676627,0.0379856
4.4,0.0905486,0.0399589
4.42,0.0577123,0.0325591
4.44,0.0786082,0.0340391
4.46,0.0467669,0.0266393
4.48,0.0646776,0.0281192
4.5,0.0358214,0.0207194
4.52,0.0527371,0.0221994
4.54,0.0208958,0.0147996
4.56,0.0398016,0.0167729
4.58,0.0119405,0.00887976
4.6,0.0328363,0.010853
4.62,-0.00099504,0.0024666
4.64,0.0169157,0.00443988
4.66,-0.0099504,-0.00295992
4.68,0.00796032,-0.00147996
4.7,-0.024876,-0.00937308
4.72,-0.00796032,-0.00591984
4.74,-0.0288562,-0.0143063
4.76,-0.024876,-0.0133196
4.78,-0.0388066,-0.0202261
4.8,-0.0358214,-0.0187462
4.82,-0.049752,-0.026146
4.84,-0.048757,-0.0256526
4.86,-0.0348264,-0.0182528
4.88,-0.0378115,-0.0197328
4.9,-0.023881,-0.012333
4.92,-0.0348264,-0.013813
4.94,-0.00696528,-0.00591984
4.96,-0.024876,-0.00789312
4.98,0.00895536,-0.00049332
5,-0.00895536,-0.00197328
5.02,0.0208958,0.0049332
5.04,0,0.00394656
5.06,0.0338314,0.0113464
5.08,0.0149256,0.0098664
5.1,0.0447768,0.0177595
5.12,0.024876,0.0157862
5.14,0.0517421,0.0226927
5.16,0.0398016,0.0217061
5.18,0.0646776,0.0300925
5.2,0.0477619,0.0276259
5.22,0.0805982,0.0345324
5.24,0.0587074,0.0325591
5.26,0.0855734,0.0404522
5.28,0.0796032,0.0394656
5.3,0.0945288,0.0468654
5.32,0.098509,0.0448921
5.34,0.0905486,0.0488387
5.36,0.0925387,0.0458788
5.38,0.0776131,0.038479
5.4,0.0805982,0.0399589
5.42,0.0666677,0.0325591
5.44,0.0686578,0.0340391
5.46,0.0547272,0.0271326
5.48,0.0597024,0.0281192
5.5,0.0338314,0.0207194
5.52,0.0547272,0.0221994
5.54,0.024876,0.0152929
5.56,0.0437818,0.0162796
5.58,0.0099504,0.00887976
5.6,0.0298512,0.0103597
5.62,0.00199008,0.00295992
5.64,0.0199008,0.00443988
5.66,-0.0149256,-0.00295992
5.68,0.00696528,-0.00147996
5.7,-0.025871,-0.00887976
5.72,-0.00398016,-0.0073998
5.74,-0.0358214,-0.0143063
5.76,-0.0179107,-0.0133196
5.78,-0.0457718,-0.0207194
5.8,-0.0308462,-0.0192395
5.82,-0.050747,-0.0256526
5.84,-0.050747,-0.0251593
5.86,-0.0348264,-0.0182528
5.88,-0.0378115,-0.0197328
5.9,-0.023881,-0.012333
5.92,-0.025871,-0.013813
5.94,-0.0109454,-0.00690648
5.96,-0.0139306,-0.00838644
5.98,0.00099504,-0.00098664
6,-0.00199008,-0.00197328
6.02,0.0129355,0.0049332
6.04,0.0049752,0.00443988
6.06,0.0308462,0.0118397
6.08,0.0129355,0.00937308
6.1,0.0447768,0.0172662
6.12,0.025871,0.0157862
6.14,0.0537322,0.0236794
6.16,0.0388066,0.0217061
6.18,0.0656726,0.0295992
6.2,0.048757,0.0271326
6.22,0.0786082,0.0345324
6.24,0.0597024,0.0330524
6.26,0.0885586,0.0409456
6.28,0.0706478,0.0394656
6.3,0.099504,0.0468654
6.32,0.109454,0.049332
6.34,0.0786082,0.0443988
6.36,0.098509,0.0463721
6.38,0.0776131,0.038479
6.4,0.0805982,0.0399589
6.42,0.0666677,0.0325591
6.44,0.0686578,0.0335458
6.46,0.0517421,0.0266393
6.48,0.0577123,0.0281192
6.5,0.0427867,0.0212128
6.52,0.0447768,0.0221994
6.54,0.0308462,0.0152929
6.56,0.0348264,0.0162796
6.58,0.0189058,0.00887976
6.6,0.0268661,0.010853
6.62,-0.00199008,0.00295992
6.64,0.0199008,0.00443988
6.66,-0.0129355,-0.0024666
6.68,0.00696528,-0.00147996
6.7,-0.0228859,-0.00887976
6.72,-0.00199008,-0.0073998
6.74,-0.0358214,-0.0147996
6.76,-0.0169157,-0.012333
6.78,-0.0477619,-0.0207194
6.8,-0.0288562,-0.0187462
6.82,-0.0597024,-0.026146
6.84,-0.0577123,-0.026146
6.86,-0.0278611,-0.0182528
6.88,-0.048757,-0.0197328
6.9,-0.0149256,-0.012333
6.92,-0.0328363,-0.013813
6.94,-0.0119405,-0.00690648
6.96,-0.0159206,-0.0073998
6.98,0,-0.00098664
7,-0.00298512,-0.00197328
7.02,0.0119405,0.00542652
7.04,0.0099504,0.00394656
7.06,0.024876,0.0113464
7.08,0.0208958,0.0098664
7.1,0.0378115,0.0167729
7.12,0.0278611,0.0157862
7.14,0.0477619,0.0226927
7.16,0.0417917,0.0217061
7.18,0.0676627,0.0291059
7.2,0.048757,0.026146
7.22,0.0776131,0.0350257
7.24,0.0626875,0.0330524
7.26,0.0885586,0.0404522
7.28,0.0696528,0.0389723
7.3,0.101494,0.0463721
7.32,0.106469,0.049332
7.34,0.0805982,0.0443988
7.36,0.103484,0.0458788
7.38,0.0706478,0.0379856
7.4,0.0875635,0.0399589
7.42,0.0557222,0.0320658
7.44,0.073633,0.0340391
7.46,0.0427867,0.026146
7.48,0.0656726,0.0286126
7.5,0.0407966,0.0207194
7.52,0.0467669,0.0221994
7.54,0.0308462,0.0152929
7.56,0.0338314,0.0162796
7.58,0.0189058,0.00937308
7.6,0.0228859,0.0103597
7.62,0.00796032,0.00295992
7.64,0.0109454,0.00443988
7.66,-0.0049752,-0.0024666
7.68,-0.00099504,-0.00147996
7.7,-0.0189058,-0.00887976
7.72,-0.0119405,-0.0073998
7.74,-0.0378115,-0.0152929
7.76,-0.0159206,-0.0133196
7.78,-0.0467669,-0.0207194
7.8,-0.0278611,-0.0187462
7.82,-0.0587074,-0.026146
7.84,-0.0567173,-0.0256526
7.86,-0.023881,-0.0177595
7.88,-0.0467669,-0.0197328
7.9,-0.0149256,-0.012333
