t,vds,corrente
11.86,-0.0278611,-0.0147996
11.88,-0.0328363,-0.0162796
11.9,-0.0159206,-0.00887976
11.92,-0.0208958,-0.0098664
11.94,-0.0049752,-0.00295992
11.96,-0.00895536,-0.00443988
11.98,0.00895536,0.0024666
12,0.00398016,0.00147996
12.02,0.0189058,0.00887976
12.04,0.0149256,0.0073998
12.06,0.0308462,0.0143063
12.08,0.0268661,0.0133196
12.1,0.0417917,0.0207194
12.12,0.0388066,0.0192395
12.14,0.0547272,0.0266393
12.16,0.050747,0.0251593
12.18,0.0656726,0.0320658
12.2,0.0616925,0.0310792
12.22,0.0786082,0.0379856
12.24,0.074628,0.036999
12.26,0.0885586,0.0439055
12.28,0.0845784,0.0424255
12.3,0.099504,0.0488387
12.32,0.0975139,0.047852
12.34,0.0825883,0.0409456
12.36,0.0865685,0.0419322
12.38,0.0696528,0.0350257
12.4,0.074628,0.0365057
12.42,0.0577123,0.0295992
12.44,0.0626875,0.0300925
12.46,0.0457718,0.023186
12.48,0.0527371,0.024666
12.5,0.0358214,0.0172662
12.52,0.0398016,0.0187462
12.54,0.023881,0.010853
12.56,0.0278611,0.0128263
12.58,0.0109454,0.00591984
12.6,0.0159206,0.00690648
12.62,0,-0.00049332
12.64,0.00298512,0.00098664
12.66,-0.0119405,-0.00591984
12.68,-0.00796032,-0.0049332
12.7,-0.0228859,-0.012333
12.72,-0.0189058,-0.0103597
12.74,-0.0358214,-0.0177595
12.76,-0.0298512,-0.0167729
12.78,-0.0467669,-0.0236794
12.8,-0.050747,-0.026146
12.82,-0.0388066,-0.0207194
12.84,-0.0457718,-0.0221994
12.86,-0.0288562,-0.0147996
12.88,-0.0318413,-0.0162796
12.9,-0.0159206,-0.00887976
12.92,-0.0199008,-0.0098664
12.94,-0.00298512,-0.00345324
12.96,-0.00796032,-0.00443988
12.98,0.00696528,0.00295992
13,0.00398016,0.00147996
13.02,0.0189058,0.00887976
13.04,0.0149256,0.0073998
13.06,0.0308462,0.0147996
13.08,0.0278611,0.0133196
13.1,0.0427867,0.0202261
13.12,0.0388066,0.0192395
13.14,0.0547272,0.026146
13.16,0.049752,0.0251593
13.18,0.0666677,0.0320658
13.2,0.0616925,0.0305858
13.22,0.0776131,0.0379856
13.24,0.074628,0.036999
13.26,0.0895536,0.0439055
13.28,0.0855734,0.0429188
13.3,0.100499,0.049332
13.32,0.0975139,0.047852
13.34,0.0805982,0.0409456
13.36,0.0865685,0.0424255
13.38,0.0706478,0.0350257
13.4,0.0766181,0.0365057
13.42,0.0577123,0.0291059
13.44,0.0636826,0.0305858
13.46,0.0467669,0.023186
13.48,0.0517421,0.024666
13.5,0.0358214,0.0172662
13.52,0.0388066,0.0187462
13.54,0.0218909,0.0118397
13.56,0.0268661,0.0128263
13.58,0.0109454,0.00542652
13.6,0.0149256,0.00690648
13.62,0.00099504,0
13.64,0.0049752,0.00098664
13.66,-0.0119405,-0.00641316
13.68,-0.00796032,-0.0049332
13.7,-0.023881,-0.0118397
13.72,-0.0189058,-0.010853
13.74,-0.0358214,-0.0182528
13.76,-0.0318413,-0.0167729
13.78,-0.0477619,-0.0236794
13.8,-0.0517421,-0.026146
13.82,-0.0388066,-0.0207194
13.84,-0.0437818,-0.0221994
13.86,-0.025871,-0.0147996
13.88,-0.0318413,-0.0162796
13.9,-0.0159206,-0.00887976
13.92,-0.0208958,-0.0103597
13.94,-0.0049752,-0.00295992
13.96,-0.00796032,-0.00443988
13.98,0.00895536,0.00295992
14,0.00398016,0.00147996
14.02,0.0199008,0.00887976
14.04,0.0149256,0.0073998
14.06,0.0308462,0.0143063
14.08,0.023881,0.0133196
14.1,0.0427867,0.0202261
14.12,0.0378115,0.0192395
14.14,0.0537322,0.0266393
14.16,0.049752,0.0251593
14.18,0.0666677,0.0325591
14.2,0.0616925,0.0310792
14.22,0.0786082,0.038479
14.24,0.074628,0.036999
14.26,0.0895536,0.0443988
14.28,0.0855734,0.0429188
14.3,0.099504,0.049332
14.32,0.0975139,0.047852
14.34,0.0815933,0.0409456
14.36,0.0855734,0.0419322
14.38,0.0706478,0.0350257
14.4,0.074628,0.0365057
14.42,0.0587074,0.0291059
14.44,0.0626875,0.0305858
14.46,0.0467669,0.0236794
14.48,0.049752,0.024666
14.5,0.0348264,0.0172662
14.52,0.0388066,0.0187462
14.54,0.023881,0.0113464
14.56,0.0278611,0.0128263
14.58,0.0119405,0.00591984
