;subida[VDS];descida[VDS]
1839;0.0618162;0.160228
1840;0.0618162;0.160228
1841;0.0623108;0.160228
1842;0.0623108;0.160228
1843;0.0623108;0.160228
1844;0.0618163;0.160228
1845;0.0623108;0.160228
1846;0.0618162;0.160228
1847;0.0623108;0.160228
1848;0.0618162;0.160228
1849;0.0623108;0.160228
1850;0.0623108;0.160228
1851;0.0623108;0.160228
1852;0.0623108;0.160228
1853;0.0623108;0.160228
1854;0.0613217;0.160228
1855;0.0623108;0.160228
1856;0.0618162;0.160228
1857;0.0613217;0.160228
1858;0.0623108;0.160228
1859;0.0623108;0.160228
1860;0.0623108;0.160228
1861;0.0623108;0.160228
1862;0.0623108;0.160228
1863;0.0623108;0.160228
1864;0.0623108;0.160228
1865;0.0623108;0.160228
1866;0.0623108;0.160228
1867;0.0623108;0.160228
1868;0.0623108;0.160228
1869;0.0623108;0.160228
1870;0.0618162;0.160228
1871;0.0623108;0.160228
1872;0.0623108;0.160228
1873;0.0623108;0.160228
1874;0.0623108;0.160228
1875;0.0623108;0.160228
1876;0.0613217;0.160228
1877;0.0618162;0.160228
1878;0.0623108;0.160228
1879;0.0623108;0.160228
1880;0.0623108;0.160228
1881;0.0623108;0.160228
1882;0.0623108;0.160228
1883;0.0618162;0.160228
1884;0.0623108;0.160228
1885;0.0623108;0.160228
1886;0.0623108;0.160228
1887;0.0618162;0.160228
1888;0.0623108;0.160228
1889;0.0623108;0.160228
1890;0.0623108;0.160228
1891;0.0623108;0.160228
1892;0.0623108;0.160228
1893;0.0623108;0.160228
1894;0.0623108;0.160228
1895;0.0623108;0.160228
1896;0.0623108;0.160228
1897;0.0623108;0.160228
1898;0.0618162;0.160228
1899;0.0618162;0.160228
1900;0.0623108;0.160228
1901;0.0618162;0.160228
1902;0.0623108;0.160228
1903;0.0618162;0.160228
1904;0.0618163;0.160228
1905;0.0623108;0.160228
1906;0.0623108;0.160228
1907;0.0623108;0.160228
1908;0.0623108;0.160228
1909;0.0618162;0.160228
1910;0.0623108;0.160228
1911;0.0623108;0.160228
1912;0.0623108;0.160228
1913;0.0623108;0.160228
1914;0.0618162;0.160228
1915;0.0623108;0.160228
1916;0.0623108;0.160228
1917;0.0623108;0.160228
1918;0.0618163;0.160228
1919;0.0623108;0.160228
1920;0.0623108;0.160228
1921;0.0618162;0.160228
1922;0.0623108;0.160228
1923;0.0618162;0.160228
1924;0.0623108;0.160228
1925;0.0623108;0.160228
1926;0.0623108;0.160228
1927;0.0618162;0.160228
1928;0.0618162;0.160228
1929;0.0623108;0.160228
1930;0.0623108;0.160228
1931;0.0623108;0.160228
1932;0.0623108;0.160228
1933;0.0623108;0.160228
1934;0.0623108;0.160228
1935;0.0623108;0.160228
1936;0.0623108;0.160228
1937;0.0623108;0.160228
1938;0.0623108;0.160228
1939;0.0623108;0.160228
1940;0.0623108;0.160228
1941;0.0623108;0.160228
1942;0.0623108;0.160228
1943;0.0618162;0.160228
1944;0.0618162;0.160228
1945;0.0623108;0.160228
1946;0.0623108;0.160228
1947;0.0623108;0.160228
1948;0.0623108;0.160228
1949;0.0623108;0.160228
1950;0.0623108;0.160228
1951;0.0623108;0.160228
1952;0.0623108;0.160228
1953;0.0623108;0.160228
1954;0.0623108;0.160228
1955;0.0623108;0.160228
1956;0.0623108;0.160228
1957;0.0623108;0.160228
1958;0.0623108;0.160228
1959;0.0623108;0.160228
1960;0.0623108;0.160228
1961;0.0618162;0.160228
1962;0.0623108;0.160228
1963;0.0618162;0.160228
1964;0.0623108;0.160228
1965;0.0623108;0.160228
1966;0.0623108;0.160228
1967;0.0623108;0.160228
1968;0.0623108;0.160228
1969;0.0623108;0.160228
1970;0.0623108;0.160228
1971;0.0623108;0.160228
1972;0.0623108;0.160228
1973;0.0623108;0.160228
1974;0.0623108;0.160228
1975;0.0618162;0.160228
1976;0.0623108;0.160228
1977;0.0623108;0.160228
1978;0.0618162;0.160228
1979;0.0623108;0.160228
1980;0.0623108;0.160228
1981;0.0623108;0.160228
1982;0.0623108;0.160228
1983;0.0618162;0.160228
1984;0.0618162;0.160228
1985;0.0623108;0.160228
1986;0.0623108;0.160228
1987;0.0623108;0.160228
1988;0.0623108;0.160228
1989;0.0623108;0.160228
1990;0.0623108;0.160228
1991;0.0623108;0.160228
1992;0.0623108;0.160228
1993;0.0623108;0.160228
1994;0.0623108;0.160228
1995;0.0618162;0.160228
1996;0.0623108;0.160228
1997;0.0618162;0.160228
1998;0.0623108;0.160228
1999;0.0623108;0.160228
2000;0.0623108;0.160228
2001;0.0623108;0.160228
2002;0.0623108;0.160228
2003;0.0623108;0.160228
2004;0.0623108;0.160228
2005;0.0623108;0.160228
2006;0.0618162;0.160228
2007;0.0623108;0.160228
2008;0.0623108;0.160228
2009;0.0623108;0.160228
2010;0.0623108;0.160228
2011;0.0623108;0.160228
2012;0.0623108;0.160228
2013;0.0623108;0.160228
2014;0.0623108;0.160228
2015;0.0623108;0.160228
2016;0.0623108;0.160228
2017;0.0623108;0.160228
2018;0.0623108;0.160228
2019;0.0623108;0.160228
2020;0.0623108;0.160228
2021;0.0618162;0.160228
2022;0.0623108;0.160228
2023;0.0623108;0.160228
2024;0.0623108;0.160228
2025;0.0623108;0.160228
2026;0.0623108;0.160228
2027;0.0623108;0.160228
2028;0.0623108;0.160228
2029;0.0623108;0.160228
2030;0.0618163;0.160228
2031;0.0623108;0.160228
2032;0.0623108;0.160228
2033;0.0623108;0.160228
2034;0.0623108;0.160228
2035;0.0618162;0.160228
2036;0.0623108;0.160228
2037;0.0618162;0.160228
2038;0.0623108;0.160228
2039;0.0623108;0.160228
2040;0.0623108;0.160228
2041;0.0618163;0.160228
2042;0.0623108;0.160228
2043;0.0618162;0.160228
2044;0.0623108;0.160228
2045;0.0623108;0.160228
2046;0.0623108;0.160228
2047;0.0623108;0.160228
2048;0.0623108;0.160228
2049;0.0623108;0.160228
2050;0.0623108;0.160228
2051;0.0623108;0.160228
2052;0.0623108;0.160228
2053;0.0618162;0.160228
2054;0.0623108;0.160228
2055;0.0618162;0.160228
2056;0.0623108;0.160228
2057;0.0618162;0.160228
2058;0.0623108;0.160228
2059;0.0623108;0.160228
2060;0.0623108;0.160228
2061;0.0623108;0.160228
